episode_id,director_id
1,1
2,2
3,3
4,1
5,4
6,5
7,3
8,6
9,6
10,7
11,1
12,8
13,9
14,6
15,10
16,11
17,12
18,13
19,14
20,1
21,13
22,1
23,13
24,15
25,13
26,16
27,9
28,13
29,17
30,13
31,1
32,1
33,1
34,13
35,1
36,13
37,1
38,15
39,13
40,13
41,13
42,15
43,13
44,13
45,18
46,19
47,13
48,1
49,15
50,6
51,1
52,6
53,20
54,15
55,1
56,1
57,20
58,21
59,22
60,15
61,6
62,22
63,23
64,24
65,25
66,21
67,26
68,20
69,24
70,21
71,21
72,24
73,27
74,28
75,25
76,21
77,17
78,22
79,24
80,29
81,30
82,31
83,32
84,33
85,34
86,35
87,33
88,34
89,36
90,37
91,33
92,38
93,30
94,33
95,39
96,29
97,40
98,33
99,41
100,42
101,37
102,43
103,34
104,35
105,33
106,44
107,33
108,43
109,45
110,41
111,30
112,33
113,46
114,33
115,37
116,34
117,37
118,47
119,44
120,33
121,41
122,44
123,33
124,34
125,46
126,33
127,44
128,34
129,41
130,48
131,44
132,49
133,50
134,46
135,51
136,46
137,34
138,49
139,41
140,34
141,50
142,52
143,41
144,44
145,53
146,46
147,34
148,51
149,41
150,54
151,55
152,34
153,34
154,41
155,33
156,49
157,34
158,46
159,52
160,41
161,29
162,53
163,48
164,53
165,55
166,41
167,34
168,44
169,41
170,44
171,54
172,34
173,52
174,41
175,56
176,57
177,58
178,34
179,50
180,44
181,41
182,34
183,49
184,29
185,41
186,34
187,30
188,46
189,58
190,48
191,44
192,41
193,57
194,53
195,46
196,52
197,30
198,44
199,34
200,49
201,59
202,50
203,60
204,41
205,41
206,34
207,44
208,61
209,48
210,46
211,62
212,58
213,52
214,46
215,41
216,61
217,34
218,49
219,41
220,44
221,63
222,34
223,48
224,52
225,35
226,34
227,44
228,64
229,62
230,61
231,61
232,34
233,48
234,60
235,61
236,58
237,41
238,52
239,59
240,46
241,48
242,64
243,61
244,52
245,49
246,44
247,48
248,34
249,65
250,29
251,66
252,41
253,34
254,58
255,44
256,50
257,44
258,30
259,30
260,29
261,30
262,50
263,30
264,50
265,57
266,44
267,30
268,57
269,41
270,54
271,41
272,34
273,35
274,57
275,44
276,29
277,44
278,41
279,34
280,44
281,57
282,35
283,61
284,41
285,57
286,50
287,44
288,41
289,29
290,46
291,57
292,48
293,44
294,57
295,29
296,67
297,57
298,34
299,68
300,67
301,67
302,52
303,41
304,34
305,41
306,68
307,69
308,52
309,34
310,68
311,69
312,52
313,69
314,61
315,41
316,70
317,69
318,61
319,44
320,68
321,57
322,34
323,70
324,66
325,34
326,61
327,35
328,57
329,70
330,64
331,68
332,35
333,61
334,64
335,44
336,57
337,69
338,41
339,66
340,57
341,64
342,41
343,64
344,61
345,35
346,57
347,35
348,64
349,70
350,68
351,41
352,35
353,67
354,71
355,67
356,72
357,66
358,70
359,64
360,72
361,66
362,40
363,73
364,74
365,49
366,41
367,57
368,80
369,75
370,68
371,70
372,64
373,72
374,67
375,40
376,76
377,72
378,72
379,40
380,73
381,64
382,44
383,72
384,57
385,64
386,77
387,53
388,70
389,74
390,68
391,72
392,78
393,57
394,66
395,76
396,74
397,72
398,73
399,40
400,75
401,72
402,44
403,72
404,41
405,72
406,41
407,53
408,66
409,79
410,72
411,44
412,80
413,77
414,74
415,64
416,81
417,79
418,40
419,57
420,79
421,44
422,70
423,40
424,76
425,40
426,79
427,68
428,72
429,82
430,82
431,82
432,82
433,82
434,82
435,82
436,82
437,82
438,82
439,82
440,82
441,82
442,82
443,82
444,82
445,83
446,83
447,83
448,83
449,83
450,83
451,44
452,67
453,41
454,44
455,57
456,44
457,64
458,57
459,41
460,46
461,41
462,67
463,44
464,67
465,57
466,35
467,44
468,52
469,44
470,57
471,67
472,52
473,35
474,61
475,34
476,57
477,44
478,52
479,41
480,61
481,34
482,64
483,35
484,34
485,41
486,57
487,35
488,56
489,34
490,61
491,44
492,44
493,57
494,41
495,61
496,34
497,44
498,84
499,57
500,34
501,57
502,34
503,61
504,73
505,85
506,86
507,71
508,84
509,61
510,46
511,56
512,72
513,77
514,57
515,72
516,61
517,57
518,44
519,77
520,73
521,61
522,87
523,64
524,57
525,72
526,40
527,61
528,73
529,72
530,61
531,86
532,57
533,78
534,73
535,57
536,73
537,74
538,71
539,88
540,77
541,87
542,44
543,57
544,41
545,34
546,57
547,80
548,64
549,57
550,57
551,44
552,41
553,40
554,72
555,89
556,34
557,34
557,89
558,57
559,77
560,44
561,90
562,72
563,84
